[INFO][12.03.2016 13:43:39] Logger started to work
[INFO][12.03.2016 13:43:42] Чтение информации о матрице из файла C:\Users\omman\Source\Repos\toop-project\toop-project\toop-project\res\testFile.mtx...
[INFO][12.03.2016 13:43:42] Чтение информации о матрице из файла завершено.
[INFO][12.03.2016 13:43:42] Выбранный формат матрицы - плотный.
[INFO][12.03.2016 13:43:42] Ввод размерности матрицы...
[INFO][12.03.2016 13:43:42] Ввод размерности матрицы завершен.
[INFO][12.03.2016 13:43:42] Ввод элементов матрицы...
[INFO][12.03.2016 13:43:42] Ввод элементов матрицы завершен.
[INFO][12.03.2016 13:43:42] Успешное завершение ввода матрицы.
[INFO][12.03.2016 13:43:53] Чтение информации о правой части из файла C:\Users\omman\Source\Repos\toop-project\toop-project\toop-project\res\testRP.rtx.
[INFO][12.03.2016 13:43:53] Ввод размерности правой части...
[INFO][12.03.2016 13:43:53] Ввод размерности правой части завершен.
[INFO][12.03.2016 13:43:53] Ввод элементов правой части...
[INFO][12.03.2016 13:43:53] Ввод элементов правой части завершен.
[INFO][12.03.2016 13:43:53] Успешное завершение ввода правой части.
[SOLVER][12.03.2016 13:43:56] Solving: iteration number 0, residual is 1
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 61, residual is 0,659101584221297
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 62, residual is 0,666497863118315
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 63, residual is 0,67384976421346
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 64, residual is 0,681170406214931
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 65, residual is 0,688472187808732
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 66, residual is 0,695766796843054
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 67, residual is 0,703065224049399
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 68, residual is 0,710377780262036
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 69, residual is 0,717714116262658
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 70, residual is 0,725083244521414
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 71, residual is 0,732493562230656
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 72, residual is 0,739952875135494
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 73, residual is 0,747468421757627
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 74, residual is 0,755046897687455
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 75, residual is 0,762694479686114
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 76, residual is 0,770416849395082
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 77, residual is 0,778219216498014
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 78, residual is 0,786106341218594
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 79, residual is 0,794082556070562
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 80, residual is 0,802151786802766
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 81, residual is 0,810317572503827
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 82, residual is 0,818583084848651
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 83, residual is 0,826951146483147
